IDH,IDC,Distancia,Tiempo
3,358,22472,17704
3,364,22135,17449
3,391,22554,17758
3,393,22935,17842
3,400,23169,17893
3,412,22135,17449
3,422,22698,17859
3,444,22416,17652
3,452,22511,17730
3,464,22612,17801
3,467,22291,17556
3,471,22819,17957
3,472,23143,18183
3,481,23905,19551
3,485,22511,17730
3,498,22537,17746
3,125,25219,19795
3,239,23173,19077
3,270,20973,16535
3,290,21746,16945
3,380,23910,18359
3,98,22387,17296
3,113,20917,16523
3,50,21517,16686
3,51,20313,15873
3,54,20985,16345
3,78,21220,16763
3,81,21205,16752
3,127,21613,16767
3,131,20067,15709
3,191,20869,16276
3,196,20985,16345
3,237,20985,16345
3,238,20150,15761
3,318,21536,16694
3,361,21101,16419
3,468,20313,15873
3,5,20471,15759
3,15,19712,15667
3,16,20292,16054
3,18,19840,15738
3,44,21123,16263
3,69,19737,15659
3,70,20519,16224
3,83,20519,16224
3,94,19747,15690
3,99,20086,15895
3,110,19820,15725
3,124,21277,16401
3,136,20193,15989
3,139,20922,16308
3,149,20224,15607
3,159,21992,16965
3,163,21877,16890
3,165,20958,16588
3,169,20061,15897
3,176,20519,16224
3,177,19797,15700
3,185,21722,16755
3,203,19969,15814
3,207,20072,15887
3,215,19670,15605
3,223,19453,15478
3,278,20480,15764
3,286,21388,16502
3,292,20888,16074
3,308,20446,16176
3,322,20519,16224
3,329,21548,16618
3,337,20546,15820
3,356,19813,15697
3,359,20519,16224
3,370,21256,16378
3,374,20325,15705
3,382,21906,16902
3,408,21952,16937
3,410,21556,16632
3,411,21560,16635
3,445,21265,16429
3,449,20519,16224
3,450,20857,16032
3,458,20701,15986
3,461,19991,15831
3,462,20062,15895
3,475,20519,16224
3,490,20814,16441
3,491,21147,16680
3,492,19604,15588
3,497,21675,16726
3,181,42671,32468
3,272,42725,32525
3,141,26396,20653
3,344,28403,23186
3,438,26912,21872
3,183,24519,18971
3,494,24461,18939
3,495,24476,18951
3,7,27805,20989
3,12,26999,20447
3,22,26488,20111
3,26,27246,20732
3,31,26087,19814
3,34,26413,20064
3,45,27427,20780
3,93,27149,20559
3,115,27240,20626
3,168,27311,20683
3,206,28694,21608
3,219,27307,20681
3,221,26507,20118
3,241,27156,20593
3,275,27250,20634
3,283,26649,20190
3,309,27189,20592
3,326,26999,20447
3,373,26999,20447
3,409,27559,20822
3,414,28102,21188
3,431,26326,19989
3,443,27967,21100
3,453,27080,20516
3,463,26663,20212
3,74,22536,17343
3,383,22554,17357
3,417,21428,16447
3,499,22555,17357
3,23,21969,16825
3,79,21936,16793
3,162,21226,16264
3,175,20509,15689
3,204,20506,15683
3,338,21539,16495
3,390,21969,16825
3,170,23526,17877
3,213,23529,17901
3,76,24041,18351
3,108,23065,17668
3,128,22950,17580
3,148,27846,21015
3,164,24169,18459
3,234,24068,18370
3,235,24029,18342
3,245,22988,17591
3,258,22993,17594
3,287,23971,18323
3,294,23588,18037
3,302,23588,18037
3,381,23475,17944
3,415,23588,18037
3,428,23668,18105
3,487,23717,18117
3,488,23588,18037
3,500,23570,18012
3,6,26060,19795
3,10,26004,19760
3,28,24356,18580
3,37,24944,18980
3,63,25593,19492
3,71,26052,19789
3,72,24507,18687
3,73,26058,19806
3,75,26015,19778
3,77,26238,19928
3,86,26061,19812
3,97,26061,19812
3,105,25663,19540
3,111,26146,19868
3,119,25313,19239
3,158,26287,19970
3,182,24460,18657
3,184,24369,18594
3,218,26424,20072
3,222,26151,19871
3,226,25791,19607
3,263,26424,20033
3,276,26119,19841
3,284,25934,19727
3,296,24456,18677
3,297,25601,19437
3,298,28477,21416
3,300,25864,19679
3,330,26061,19812
3,335,25194,19163
3,340,25824,19659
3,348,24729,18827
3,353,24455,18646
3,354,25468,19407
3,366,24536,18706
3,372,26228,19935
3,376,25983,19725
3,399,26556,20142
3,406,25503,19433
3,418,25824,19629
3,427,25494,19454
3,451,26104,19840
3,476,25118,19110
3,489,26592,20146
3,11,30887,23280
3,25,29078,21846
3,80,28296,21328
3,100,28165,21205
3,116,29250,21931
3,140,28105,21167
3,142,28397,21352
3,171,28459,21398
3,195,27824,21001
3,198,28648,21533
3,200,28401,21406
3,202,28451,21449
3,225,27901,21039
3,229,27847,21005
3,285,28249,21307
3,324,29765,22276
3,360,26478,20095
3,362,27534,20840
3,368,28109,21169
3,395,30304,22655
3,401,27813,21007
